"","Entity","Date","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","Code","PerCapita.Death","PerCapita.Infection","Death.Rate"
"201","Anguilla",2020-04-10,0,3,15002,"AIA",0,0.000199973336888415,0
"202","Anguilla",2020-04-05,0,3,15002,"AIA",0,0.000199973336888415,0
"203","Anguilla",2020-04-06,0,3,15002,"AIA",0,0.000199973336888415,0
"204","Anguilla",2020-04-11,0,3,15002,"AIA",0,0.000199973336888415,0
"205","Anguilla",2020-04-04,0,3,15002,"AIA",0,0.000199973336888415,0
"206","Anguilla",2020-04-21,0,3,15002,"AIA",0,0.000199973336888415,0
"207","Anguilla",2020-03-27,0,2,15002,"AIA",0,0.00013331555792561,0
"208","Anguilla",2020-04-16,0,3,15002,"AIA",0,0.000199973336888415,0
"209","Anguilla",2020-04-17,0,3,15002,"AIA",0,0.000199973336888415,0
"210","Anguilla",2020-03-31,0,2,15002,"AIA",0,0.00013331555792561,0
"211","Anguilla",2020-04-20,0,3,15002,"AIA",0,0.000199973336888415,0
"212","Anguilla",2020-04-19,0,3,15002,"AIA",0,0.000199973336888415,0
"213","Anguilla",2020-04-03,0,3,15002,"AIA",0,0.000199973336888415,0
"214","Anguilla",2020-04-15,0,3,15002,"AIA",0,0.000199973336888415,0
"215","Anguilla",2020-04-18,0,3,15002,"AIA",0,0.000199973336888415,0
"216","Anguilla",2020-04-22,0,3,15002,"AIA",0,0.000199973336888415,0
"217","Anguilla",2020-03-28,0,2,15002,"AIA",0,0.00013331555792561,0
"218","Anguilla",2020-03-30,0,2,15002,"AIA",0,0.00013331555792561,0
"219","Anguilla",2020-04-02,0,2,15002,"AIA",0,0.00013331555792561,0
"220","Anguilla",2020-04-13,0,3,15002,"AIA",0,0.000199973336888415,0
"221","Anguilla",2020-04-01,0,2,15002,"AIA",0,0.00013331555792561,0
"222","Anguilla",2020-03-29,0,2,15002,"AIA",0,0.00013331555792561,0
"223","Anguilla",2020-04-14,0,3,15002,"AIA",0,0.000199973336888415,0
"224","Anguilla",2020-04-12,0,3,15002,"AIA",0,0.000199973336888415,0
"225","Antigua and Barbuda",2020-04-08,0,15,97928,"ATG",0,0.0001531737603137,0
"226","Antigua and Barbuda",2020-03-27,0,7,97928,"ATG",0,7.14810881463933e-05,0
"227","Antigua and Barbuda",2020-04-22,3,24,97928,"ATG",3.063475206274e-05,0.00024507801650192,0.125
"228","Antigua and Barbuda",2020-04-05,0,15,97928,"ATG",0,0.0001531737603137,0
"229","Antigua and Barbuda",2020-04-21,3,23,97928,"ATG",3.063475206274e-05,0.000234866432481006,0.130434782608696
"230","Antigua and Barbuda",2020-03-26,0,3,97928,"ATG",0,3.063475206274e-05,0
"231","Antigua and Barbuda",2020-03-21,0,1,97928,"ATG",0,1.02115840209133e-05,0
